,7_fold,14_fold,50_fold,30_fold,server
0,0.5390458888420321,0.5382966586596193,0.5386784269541309,0.5390911142238964,0
1,0.007097189888864025,0.0035731993218146014,0.004009348865946287,0.0030216223814552535,0
2,0.5301594887593746,0.5323600108602432,0.5302912209569575,0.5343621440561243,0
3,0.5512708821019652,0.5452001273916877,0.5502210881477279,0.5458495460042012,0
0,0.5385503195753994,0.5374893787467523,0.538926013114381,0.5380943570264247,1
1,0.002996455106043824,0.007787173164959083,0.0032235009036895444,0.0023196433628872044,1
2,0.5334175122271144,0.5236908233615001,0.5283973754163277,0.5327585966164988,1
3,0.5424646711456338,0.5474213105311705,0.5450153141414452,0.5432015753431524,1
0,0.5351599088649379,0.5379379279842607,0.5383887457736249,0.5387347018411662,2
1,0.0043916920091824066,0.006330597130924165,0.003614771978954368,0.002452698830164673,2
2,0.5275498289712446,0.5276065049405532,0.5299859110827274,0.53417331949781,2
3,0.5425742749226993,0.549498311054662,0.5471005327496076,0.5466676918590422,2
0,0.5381600792187414,0.5404058269141032,0.5377706512969139,0.5391747635779157,3
1,0.003340274710831604,0.00807986043539093,0.0035614854167405137,0.002731373866271457,3
2,0.5305180856334143,0.5248747394199071,0.5266824348473326,0.5325263669231636,3
3,0.5409410488062406,0.5511659118558235,0.5457356871777308,0.5436728240482206,3
0,0.5345882051212281,0.5395241021337421,0.5390098882591616,0.5389696273219821,4
1,0.004258540679800543,0.007429911959515639,0.003188230298243735,0.0026507360668038215,4
2,0.5308930391000719,0.5204324748412914,0.5327547991888328,0.5328590176180201,4
3,0.5438181947550493,0.5471218217522003,0.5456629336187677,0.5430766477317728,4
0,0.5364114201274227,0.5367669170169053,0.539444302934425,0.5396368640272755,5
1,0.003261970606919331,0.007054752074144496,0.0030556876504077707,0.0027655464686825062,5
2,0.5307541034441656,0.5262819102809166,0.5330814192283111,0.5328686828457435,5
3,0.5401520695055037,0.5530308422668024,0.5461814001689219,0.544219492192981,5
0,0.5398377810760768,0.5409681951166806,0.5386248780829829,0.5393186687431116,6
1,0.0038798108157781118,0.003220722274462753,0.003216853365519171,0.0022956057829938903,6
2,0.535162306714063,0.5340574091782845,0.5311571731494671,0.5346275443470054,6
3,0.547002194772243,0.5458377717233426,0.5472773164547348,0.5445098269031268,6
0,0.5404422711929883,0.5370135036736151,0.5389222091344711,0.538902722756678,7
1,0.0026859894221178643,0.006630534307803678,0.003543443918682387,0.002859229546416319,7
2,0.5363133579355248,0.5249915807598114,0.5317529807063225,0.5319303550497635,7
