,7_fold,fold_public,fold_private,server
0,0.5389603424435407,0.5404745242387405,0.5380612522579725,0
1,0.007085618086017854,0.0046907239463290515,0.0028210913667576516,0
2,0.5299518482327007,0.5317459431121347,0.5325031047851722,0
3,0.550913652808885,0.5508067299598622,0.5430675543161483,0
0,0.5382950364925773,0.5399256948269577,0.5383657427454424,1
1,0.0034306450946976633,0.0033367132871220057,0.0026231498586928546,1
2,0.5327043101407909,0.531811951167559,0.5321271315380416,1
3,0.5434234843922356,0.5480885211788379,0.5422590303992613,1
0,0.5386921460547509,0.5377570069283396,0.53852780042108,2
1,0.003433407419012068,0.003224944522564899,0.002528786012513805,2
2,0.5318425228937451,0.531704102022042,0.5329301525380187,2
3,0.5435687058054748,0.547040489499119,0.5435254372280021,2
0,0.5377241308798204,0.5385078496318377,0.5386575802274847,3
1,0.0023563306303813173,0.0038578059972640987,0.0026946358191446123,3
2,0.5338977274669656,0.5309001831710088,0.5328795308352283,3
3,0.5413405883611353,0.5466048687637416,0.5433679329597523,3
0,0.5367196992742124,0.5394767264998979,0.5389697606420515,4
1,0.002310347018600405,0.004223834429984767,0.0018695785300283845,4
2,0.5319253056937951,0.530348845854417,0.5352257273119997,4
3,0.5400581423921247,0.5473966613604687,0.5421893032086673,4
0,0.5366419065296222,0.5397883318859494,0.5384969917437791,5
1,0.0057853282584971475,0.004198529192369218,0.00295599005322289,5
2,0.5308515849628292,0.5262064804975668,0.5314071235662626,5
3,0.5487053876381354,0.5465193074712039,0.5461793925185923,5
0,0.5380765525040334,0.5385976331782547,0.5385061924024491,6
1,0.003749576664562874,0.00331520649434326,0.0030284707974148136,6
2,0.5321826547990486,0.5309964442273319,0.5334521412357843,6
3,0.5430104040549775,0.5467446477579185,0.5438328669906388,6
0,0.5370067674869393,0.5394842197927758,0.5382983071972036,7
1,0.003930870397670911,0.00525560880665372,0.0024413027257289225,7
2,0.5333485676073774,0.5299522859344881,0.533849589568012,7
3,0.5442445312000517,0.5503117894204166,0.5430666159263073,7
0,0.536302335688852,0.5383663691421108,0.5391498989945072,8
1,0.0064950844109303955,0.003995260754898534,0.0034033731051436784,8
2,0.5229761177100597,0.5307624305577766,0.5330689079557762,8
3,0.5422921848463277,0.5447473140667268,0.5465360602861544,8
0,0.540245077957046,0.539379935279575,0.5379080192696463,9
1,0.005375562736378131,0.004470249138658001,0.0027424692293025964,9
2,0.5359595234688489,0.531439098661751,0.532297455957488,9
3,0.5527961107104011,0.5491898189463201,0.5439065596592153,9
0,0.5375136325317186,0.5388061966465961,0.5384618573093811,10
1,0.004775840510557087,0.0045868026924033994,0.00238976015898884,10
2,0.5317507347521802,0.5267806803218146,0.5331565155279586,10
3,0.5442561721222519,0.5488633377884885,0.5437623915231738,10
0,0.5377793527463901,0.5377570381894675,0.5389478305317404,11
1,0.005394778573290358,0.0030712541523126224,0.003264345063486831,11
2,0.5264925949673152,0.530685503217896,0.5322229814950409,11
3,0.5457723411493047,0.5428243999621715,0.5461821268257753,11
0,0.5417060373068208,0.5388796882970203,0.5389064385937934,12
1,0.003002189812449292,0.0040822809001235414,0.003195130599661072,12
2,0.5387412153619069,0.5297274092272435,0.5307813799081168,12
3,0.5477151881917921,0.5498295416182065,0.5457907985366456,12
0,0.5382480870161782,0.5390249626897827,0.5394513467153192,13
1,0.003931056808676723,0.004612873774846403,0.0030336676437235943,13
2,0.53266526895837,0.5290045906733715,0.5321967951225179,13
3,0.5428380225034344,0.5484419230153716,0.5450012409564561,13
0,0.5382780112266411,0.5375599610639746,0.5385458815945234,14
1,0.004752066633978782,0.004539865333701209,0.0030163413719189592,14
2,0.5323995043210914,0.5257851780720479,0.5320134326027545,14
3,0.5460402286255909,0.5469326067010165,0.5444784839251532,14
0,0.5409989973899737,0.5378539381541132,0.5389402168270842,15
1,0.003899385823744707,0.0038055748187043386,0.0027722226725191974,15
2,0.5362856132910877,0.5291773082719414,0.5337828854140576,15
3,0.5468952530701671,0.5475674966086024,0.5456444484014601,15
0,0.535301695110616,0.5380273328023989,0.5385579676114545,16
1,0.004875694959031628,0.005429347614783767,0.0030376636455832972,16
2,0.5284683512966917,0.5290391164744743,0.5317927127308179,16
3,0.5455910379552456,0.5524380421347619,0.5447549356444586,16
0,0.538187220181477,0.540069173595241,0.5386817646754144,17
1,0.0037872663597709687,0.004163561487100338,0.0030312141826136733,17
2,0.5301064431009238,0.533472739456586,0.5309924703044632,17
3,0.5421394138505153,0.5506225800814836,0.5437088113645218,17
0,0.5368981960722843,0.5399023819972072,0.5389438283630592,18
1,0.002311836138997218,0.00467842102160733,0.002778828441100583,18
2,0.533252082389266,0.5280292556368146,0.5334566597293768,18
3,0.5404948070738587,0.5499901904849287,0.544220256040319,18
