log_loss,auc,mstd,rounds,params
0.5380201428571428,0.8040772857142857,0.03027231938832683,904,"{'colsample_bytree': 0.77, 'eta': 0.0068000000000000005, 'gamma': 0.15, 'max_depth': 5, 'min_child_weight': 67.0, 'reg_lambda': 0.88, 'subsample': 0.6900000000000001}"
0.5380282857142856,0.8040332857142857,0.030835308696096055,821,"{'colsample_bytree': 0.79, 'eta': 0.0071, 'gamma': 0.149, 'max_depth': 5, 'min_child_weight': 73.0, 'reg_lambda': 0.88, 'subsample': 0.56}"
0.538029,0.8040545714285715,0.02973831419665004,671,"{'colsample_bytree': 0.6900000000000001, 'eta': 0.009600000000000001, 'gamma': 0.20400000000000001, 'max_depth': 5, 'min_child_weight': 64.0, 'reg_lambda': 0.87, 'subsample': 0.77}"
0.5380307142857143,0.8040564285714284,0.031974630169135126,741,"{'colsample_bytree': 0.79, 'eta': 0.0071, 'gamma': 0.15, 'max_depth': 5, 'min_child_weight': 93.0, 'reg_lambda': 0.8, 'subsample': 0.58}"
0.5380320000000001,0.8040338571428572,0.0310994339179306,1365,"{'colsample_bytree': 0.8, 'eta': 0.004200000000000001, 'gamma': 0.101, 'max_depth': 5, 'min_child_weight': 71.0, 'reg_lambda': 0.8300000000000001, 'subsample': 0.6900000000000001}"
0.5380459999999999,0.8040200000000001,0.030519326280338897,739,"{'colsample_bytree': 0.75, 'eta': 0.0081, 'gamma': 0.198, 'max_depth': 5, 'min_child_weight': 66.0, 'reg_lambda': 0.9500000000000001, 'subsample': 0.73}"
0.5380485714285715,0.8040229999999998,0.03036714839519585,1303,"{'colsample_bytree': 0.74, 'eta': 0.0047, 'gamma': 0.137, 'max_depth': 5, 'min_child_weight': 65.0, 'reg_lambda': 0.92, 'subsample': 0.66}"
0.5380644285714286,0.8040242857142857,0.03127760735846785,808,"{'colsample_bytree': 0.96, 'eta': 0.006900000000000001, 'gamma': 0.185, 'max_depth': 5, 'min_child_weight': 80.0, 'reg_lambda': 0.9, 'subsample': 0.64}"
0.5380680000000001,0.804,0.03116366467241908,757,"{'colsample_bytree': 0.73, 'eta': 0.007500000000000001, 'gamma': 0.179, 'max_depth': 5, 'min_child_weight': 79.0, 'reg_lambda': 0.78, 'subsample': 0.62}"
0.53807,0.8039951428571428,0.030358216094499704,671,"{'colsample_bytree': 0.6900000000000001, 'eta': 0.0091, 'gamma': 0.201, 'max_depth': 5, 'min_child_weight': 58.0, 'reg_lambda': 0.87, 'subsample': 0.75}"
