log_loss,mstd,params
0.5391362857142857,0.033222288906464906,"{'reg_lambda': 0.7002252077235175, 'eta': 0.00222664275142913, 'max_depth': 6, 'colsample_bytree': 0.9450211344337482, 'gamma': 0.06999358728839997, 'min_child_weight': 16.157595832431902, 'subsample': 0.019996302538472788}"
0.5391524285714286,0.031627812480748814,"{'reg_lambda': 0.7001051338076558, 'eta': 0.0036512770587957266, 'max_depth': 6, 'colsample_bytree': 0.9560267146010064, 'gamma': 0.031230343857100988, 'min_child_weight': 14.887695122033298, 'subsample': 0.019979973665024447}"
0.5391731428571428,0.0318048104885383,"{'reg_lambda': 0.7158489112616766, 'eta': 0.0037842441860501336, 'max_depth': 6, 'colsample_bytree': 0.9633706272987217, 'gamma': 0.035402894440684965, 'min_child_weight': 13.782584015710219, 'subsample': 0.01996042920219308}"
0.5392058571428572,0.031018171984029227,"{'reg_lambda': 0.7096887062364947, 'eta': 0.0038791893673736063, 'max_depth': 6, 'colsample_bytree': 0.9651085813829238, 'gamma': 0.1622523238373477, 'min_child_weight': 14.077884711485549, 'subsample': 0.019971694991747096}"
0.5392084285714286,0.03206593536286552,"{'reg_lambda': 0.7260187603250673, 'eta': 0.0035307416686075083, 'max_depth': 6, 'colsample_bytree': 0.9583092242289027, 'gamma': 0.01167428470877158, 'min_child_weight': 14.563688638413236, 'subsample': 0.019942662146829018}"
0.539213142857143,0.032013936872059126,"{'reg_lambda': 0.7130462174661041, 'eta': 0.003536725897113735, 'max_depth': 6, 'colsample_bytree': 0.9575557411252325, 'gamma': 0.003906869020003666, 'min_child_weight': 15.512354756427099, 'subsample': 0.019988142535289972}"
0.5392165714285715,0.03195083011989789,"{'reg_lambda': 0.7187573254205359, 'eta': 0.0011351506313088651, 'max_depth': 6, 'colsample_bytree': 0.9567567961654908, 'gamma': 0.057877850585706436, 'min_child_weight': 14.206279538076243, 'subsample': 0.017845318198611862}"
0.539222,0.03324587996631392,"{'reg_lambda': 0.7347634710969126, 'eta': 0.0010045426539470968, 'max_depth': 6, 'colsample_bytree': 0.9546157410488957, 'gamma': 0.06050871371482988, 'min_child_weight': 11.193625105669787, 'subsample': 0.019995809323425928}"
0.5392274285714286,0.03281059251951102,"{'reg_lambda': 0.7329917761117316, 'eta': 0.0034651545138685933, 'max_depth': 6, 'colsample_bytree': 0.9424772932986029, 'gamma': 0.06636243898981312, 'min_child_weight': 13.833675217790647, 'subsample': 0.019896252502376758}"
0.5392418571428572,0.03228796889897933,"{'reg_lambda': 0.8984093872856878, 'eta': 0.0036424917813944577, 'max_depth': 5, 'colsample_bytree': 0.9687278170314936, 'gamma': 0.07930843904659896, 'min_child_weight': 13.309275069519487, 'subsample': 0.01998509636783888}"
0.5392475714285714,0.03264349216312318,"{'reg_lambda': 0.7142556413872764, 'eta': 0.002083597659206512, 'max_depth': 6, 'colsample_bytree': 0.9607850533078772, 'gamma': 0.08696304810286896, 'min_child_weight': 17.23434285265338, 'subsample': 0.01957878258841713}"
0.5392502857142857,0.03313324630098105,"{'reg_lambda': 0.7000196571318748, 'eta': 0.00223227398706117, 'max_depth': 6, 'colsample_bytree': 0.9763895418884587, 'gamma': 0.13237488453140306, 'min_child_weight': 16.769325726376316, 'subsample': 0.019649810148428638}"
0.5392582857142857,0.03228950840056519,"{'reg_lambda': 0.7495801354782063, 'eta': 0.002724640218744033, 'max_depth': 6, 'colsample_bytree': 0.9685272783896883, 'gamma': 0.03626490300717329, 'min_child_weight': 11.56069026485429, 'subsample': 0.01922348546678834}"
0.5392607142857142,0.03320691629005195,"{'reg_lambda': 0.7500982759298874, 'eta': 0.00223452891692844, 'max_depth': 7, 'colsample_bytree': 0.9487969591543778, 'gamma': 0.10557657724530076, 'min_child_weight': 15.369385329114168, 'subsample': 0.019982789605545528}"
0.5392629999999999,0.03351488476655191,"{'reg_lambda': 0.7128458645936271, 'eta': 0.0009814463416076293, 'max_depth': 6, 'colsample_bytree': 0.943071130554075, 'gamma': 0.04277450609038985, 'min_child_weight': 14.990323542294256, 'subsample': 0.019973003700227927}"
0.5392795714285714,0.03242251695174018,"{'reg_lambda': 0.7000362164116135, 'eta': 0.0010846962554323723, 'max_depth': 6, 'colsample_bytree': 0.9687732576521734, 'gamma': 0.15235075599819708, 'min_child_weight': 12.788225835053417, 'subsample': 0.01836510951717192}"
