log_loss,mstd,rounds,params
0.5382232857142857,0.030778689073712593,3283,"{'eta': 0.0018000000000000002, 'colsample_bytree': 0.918, 'reg_lambda': 0.737, 'min_child_weight': 26.900000000000002, 'max_depth': 5, 'subsample': 0.659, 'gamma': 0.04}"
0.5382277142857143,0.030499930981608116,1073,"{'eta': 0.0056, 'colsample_bytree': 0.884, 'reg_lambda': 0.741, 'min_child_weight': 30.3, 'max_depth': 5, 'subsample': 0.673, 'gamma': 0.006}"
0.5382301428571429,0.030975482124019595,539,"{'eta': 0.0105, 'colsample_bytree': 0.9460000000000001, 'reg_lambda': 0.74, 'min_child_weight': 32.0, 'max_depth': 5, 'subsample': 0.667, 'gamma': 0.018000000000000002}"
0.5382341428571429,0.030525000395507984,596,"{'eta': 0.0099, 'colsample_bytree': 0.935, 'reg_lambda': 0.793, 'min_child_weight': 31.3, 'max_depth': 5, 'subsample': 0.6990000000000001, 'gamma': 0.048}"
0.5382357142857143,0.030860544515778035,4562,"{'eta': 0.0013000000000000002, 'colsample_bytree': 0.781, 'reg_lambda': 0.745, 'min_child_weight': 31.8, 'max_depth': 5, 'subsample': 0.659, 'gamma': 0.114}"
0.538238,0.030861811622278034,918,"{'eta': 0.0063, 'colsample_bytree': 0.918, 'reg_lambda': 0.721, 'min_child_weight': 31.400000000000002, 'max_depth': 5, 'subsample': 0.6990000000000001, 'gamma': 0.03}"
0.5382431428571428,0.03070023922882964,638,"{'eta': 0.0092, 'colsample_bytree': 0.859, 'reg_lambda': 0.759, 'min_child_weight': 28.400000000000002, 'max_depth': 5, 'subsample': 0.624, 'gamma': 0.068}"
0.5382457142857142,0.030777842169554693,3980,"{'eta': 0.0015, 'colsample_bytree': 0.81, 'reg_lambda': 0.805, 'min_child_weight': 23.0, 'max_depth': 5, 'subsample': 0.641, 'gamma': 0.048}"
0.5382458571428571,0.03138163286296034,3302,"{'eta': 0.0017000000000000001, 'colsample_bytree': 0.9, 'reg_lambda': 0.734, 'min_child_weight': 27.3, 'max_depth': 5, 'subsample': 0.661, 'gamma': 0.126}"
0.5382458571428571,0.030920219964519602,4197,"{'eta': 0.0014, 'colsample_bytree': 0.862, 'reg_lambda': 0.896, 'min_child_weight': 23.3, 'max_depth': 5, 'subsample': 0.637, 'gamma': 0.109}"
0.5382469999999999,0.029194684546332433,482,"{'eta': 0.0137, 'colsample_bytree': 0.897, 'reg_lambda': 0.795, 'min_child_weight': 30.5, 'max_depth': 5, 'subsample': 0.684, 'gamma': 0.043000000000000003}"
0.538248,0.030665027788000974,2296,"{'eta': 0.0026000000000000003, 'colsample_bytree': 0.889, 'reg_lambda': 0.717, 'min_child_weight': 29.8, 'max_depth': 5, 'subsample': 0.6900000000000001, 'gamma': 0.10400000000000001}"
0.538253,0.030907985841938438,2918,"{'eta': 0.002, 'colsample_bytree': 0.9390000000000001, 'reg_lambda': 0.783, 'min_child_weight': 26.0, 'max_depth': 5, 'subsample': 0.661, 'gamma': 0.05}"
0.5382572857142857,0.03080844727754239,643,"{'eta': 0.009000000000000001, 'colsample_bytree': 0.872, 'reg_lambda': 0.722, 'min_child_weight': 21.5, 'max_depth': 5, 'subsample': 0.6980000000000001, 'gamma': 0.07100000000000001}"
